lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,east-lindsey-district-council-local-plan-2018-7,CD102 East Lindsey Core Strategy Sustainability Appraisal November 2016 with Non Technical Summary,sustainability-appraisal,pdf,https://www.e-lindsey.gov.uk/media/5024/CD102-East-Lindsey-Core-Strategy-Sustainability-Appraisal-November-2016-with-Non-Technical-Summary/pdf/Cd102_East_Lindsey_Core_Strategy_Sustainability_Appraisal_November_2016_with_Non_Technical_Summary.pdf?m=1503583849553,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-8,CD102 Appendix 1 - Vision and Strategic Actions Appraisal,,pdf,https://www.e-lindsey.gov.uk/media/5022/CD102-Appendix-1-Vision-and-Strategic-Actions-Appraisal/pdf/CD102_Appendix_1_-_Vision_and_Strategic_Actions_Appraisal.pdf?m=1503583681797,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-district-council-local-plan-2018-9,CD102 Appendix 2 - Policy appraisal sheets of changes as a result of consultation,,pdf,https://www.e-lindsey.gov.uk/media/5987/CD102-Appendix-2-Policy-appraisal-sheets-of-changes-as-a-result-of-consultation/pdf/CD102_Appendix_2_-_Policy_appraisal_sheets_of_changes_as_a_result_of_consultation.pdf?m=1505729488030,https://www.e-lindsey.gov.uk/article/8934/Adopted-Local-Plan-2018,403,text/html,,east-lindsey-district-council-local-plan-2018
,,inspectors-final-report,Inspectors Final Report,inspectors-report,pdf,https://www.e-lindsey.gov.uk/media/9024/Inspectors-Final-Report/pdf/Inspectors_Final_Report.pdf?m=1525354391803,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,403,text/html,,east-lindsey-district-council-local-plan-2018
,,local-development-scheme,Local Development Scheme,local-development-scheme,pdf,https://www.cannockchasedc.gov.uk/sites/default/files/document-library/Local%20Development%20Scheme%202024.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/local-development-scheme,200,application/pdf,,cannock-chase-district-local-plan
,,local-plan-2031-adopted-policies-map-abingdon-on-thames-and-oxford-fringe-sub-area,Local Plan 2031 Adopted Policies Map Abingdon-on-Thames and Oxford Fringe Sub-Area,policies-map,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/Adopted-October-2019-constraint-sub-area-abingdon-north-v3.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-adopted-policies-map-south-east-vale-sub-area,Local Plan 2031 Adopted Policies Map South-East Vale Sub-Area,policies-map,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/Adopted-October-2019-constraint-sub-area-east-v3.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-adopted-policies-map-western-vale-sub-area,Local Plan 2031 Adopted Policies Map Western Vale Sub Area,policies-map,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/Adopted-October-2019-constraint-sub-area-western-v3.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-1-adoption-statement,Local Plan 2031 Part 1 - Adoption Statement,adoption-statement,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2019/07/Local-Plan-2031-Part-1-Adoption-Statement-LPP1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-1-review,Local Plan 2031 Part 1 Review,,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2021/12/Local-Plan-Part-1-Review-Dec-2021..pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-1-strategic-sites-and-policies,Local Plan 2031 Part 1: Strategic Sites and Policies,local-plan,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/Local-Plan-2031-Part-1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-1-strategic-sites-and-policies-appendices,Local Plan 2031 Part 1: Strategic Sites and Policies Appendices,local-plan,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/Local-Plan-2031-Part-1-Appendicies.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-1-sustainability-appraisal-adoption-statement,Local Plan 2031 Part 1 - Sustainability Appraisal Adoption Statement,adoption-statement,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2019/07/Vale-LPP1-SA-Adoption-Statement-161206-LPP1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-2-adoption-statement,Local Plan 2031 Part 2 - Adoption Statement,adoption-statement,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/2019-10-10-VoWH-Adoption-Statement-FINAL_0-1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-2-detailed-policies-and-additional-sites,Local Plan 2031 Part 2: Detailed Policies and Additional Sites,local-plan,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2021/03/VOWHDC-Master-1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-2-review,Local Plan 2031 Part 2 Review,,pdf,https://democratic.whitehorsedc.gov.uk/documents/s61489/LPP2%20Cabinet%20Report%20Final.pdf#page=9,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-2-strategic-sites-and-policies-appendices,Local Plan 2031 Part 2: Strategic Sites and Policies Appendices,local-plan,pdf,https://data.whitehorsedc.gov.uk/java/support/dynamic_serve.jsp?ID=1173080763&CODE=481ECD6ACC86E6C4A6FE38F6391274B7,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,local-plan-2031-part-2-sustainability-appraisal-adoption-statement,Local Plan 2031 Part 2 - Sustainability Appraisal Adoption Statement,adoption-statement,pdf,https://www.whitehorsedc.gov.uk/wp-content/uploads/sites/3/2020/10/VoWH-LPP2-Sustainability-Appraisal-Adoption-Statement-191025-1.pdf,https://www.whitehorsedc.gov.uk/vale-of-white-horse-district-council/planning-and-development/local-plan-and-planning-policies/local-plan-2031/,200,application/pdf,,vale-of-white-horse-district-council-local-plan-2016
,,south-cambridgeshire-district-council-local-plan-2018-1,Adoption Statement,adoption-statement,pdf,https://www.scambs.gov.uk/media/17751/south-cambridgeshire-local-plan-2018-adoption-statement.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-16,Errata to South Cambridgeshire Local Plan (2018),local-plan,pdf,https://www.scambs.gov.uk/media/17817/errata-to-south-cambridgeshire-local-plan-2018.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-17,Policy Review of the Adopted Local Plans for Greater Cambridge (June 2023),local-plan-review,pdf,https://www.greatercambridgeplanning.org/media/2801/greater-cambridge-5-year-review-of-adopted-local-plan-policies.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,200,application/pdf,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-18,Inspectors Report,inspectors-report,pdf,https://www.scambs.gov.uk/media/17450/scdc-local-plan-final-report-2018.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-19,Schedule of Main Modifications,,pdf,https://www.scambs.gov.uk/media/12103/south-cambs-report-appendix-1.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-2,South Cambridgeshire Local Plan,local-plan,pdf,https://www.scambs.gov.uk/media/17793/south-cambridgeshire-adopted-local-plan-2018.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-22,Additional Modifications,,pdf,https://www.scambs.gov.uk/media/12566/schedule-of-additional-mods-sept-2018.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-3,Errata to South Cambridgeshire Local Plan (2018),local-plan,pdf,https://www.scambs.gov.uk/media/18045/errata-to-south-cambridgeshire-local-plan-2018-oct-2019-amendments.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-38,Schedule of Additional Modifications,,pdf,https://www.scambs.gov.uk/media/17748/schedule-of-additional-modification-sept-2018.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,south-cambridgeshire-district-council-local-plan-2018-39,Sustainability Appraisal Adoption Statement,adoption-statement;sustainability-appraisal,pdf,https://www.scambs.gov.uk/media/12567/r1700002275_-south-cambridgeshire-sa-adoption-statement.pdf,https://www.scambs.gov.uk/planning/local-plan-and-neighbourhood-planning/the-adopted-development-plan/south-cambridgeshire-local-plan-2018,404,,,south-cambridgeshire-district-council-local-plan-2018
,,staffordshire-moorlands-district-council-local-plan-2014-10,Sustainability Appraisal Post Adoption Statement September 2020,sustainability-appraisal,pdf,https://www.staffsmoorlands.gov.uk/media/6163/SA-Post-Adoption-Statement---Final/pdf/SA_Post_Adoption_Statement_-_Final.pdf?m=1601645143143,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-11,Sustainability Appraisal Submission Version February 2018,sustainability-appraisal,pdf,https://www.staffsmoorlands.gov.uk/media/6164/SA-Report-05.02.18/pdf/SA_Report_05.02.18.pdf?m=1601645143383,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-12,Sustainability Appraisal of the Staffordshire Moorlands Local Plan Proposed Main Modifications,sustainability-appraisal,pdf,https://www.staffsmoorlands.gov.uk/media/6166/Sustainability-Appraisal-of-main-modifications/pdf/Sustainability_Appraisal_of_main_modifications.pdf?m=1601645143877,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-2,Staffordshire Moorlands Local Plan,local-plan,pdf,https://www.staffsmoorlands.gov.uk/media/6155/Adopted-Local-Plan/pdf/Adopted_Local_Plan.pdf?m=1601645140880,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-3,Adoption statement,adoption-statement,pdf,https://www.staffsmoorlands.gov.uk/media/6156/adoption-statement/pdf/adoption_statement.pdf?m=1601645141177,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-4,Inspector's final report,inspectors-report,pdf,https://www.staffsmoorlands.gov.uk/media/6161/Inspectors-final-report/pdf/Inspectors_final_report.pdf?m=1601645142637,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-5,Annex to Inspector's report - schedule of main modifications,inspectors-report,pdf,https://www.staffsmoorlands.gov.uk/media/6157/Annex-to-Inspectors-report---schedule-of-main-modifications/pdf/Annex_to_Inspectors_report_-_schedule_of_main_modifications.pdf?m=1601645141410,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-6,Appendix 2 SA report Biddulph options June 2019,sustainability-appraisal,pdf,https://www.staffsmoorlands.gov.uk/media/6158/Appendix-2-SA-report-Biddulph-options-June-2019/pdf/Appendix_2_SA_report_Biddulph_options_June_2019.pdf?m=1601645141647,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-7,Equalities Impact Assessment,,pdf,https://www.staffsmoorlands.gov.uk/media/6159/Equalities-Impact-Assessment/pdf/Equalities_Impact_Assessment.pdf?m=1601645142040,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-8,Further Additional Modifications September 2020,,pdf,https://www.staffsmoorlands.gov.uk/media/6160/Further-AMs/pdf/Further_AMs.pdf?m=1601645142390,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,staffordshire-moorlands-district-council-local-plan-2014-9,Revised additional modifications,,pdf,https://www.staffsmoorlands.gov.uk/media/6162/Revised-additional-modifications/pdf/Revised_additional_modifications.pdf?m=1601645142887,https://www.staffsmoorlands.gov.uk/localplan,200,application/pdf,,staffordshire-moorlands-district-council-local-plan-2014
,,thurrock-council-local-plan-2015-2,Core Strategy and Policies for Management of Development (as amended) Adopted January 2015,core-strategy,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core_strategy_adopted_2011_amended_2015.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-3,"Core Strategy NPPF focused review, adopted January 2015 - adoption statement",adoption-statement,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core_strategy_focused_review_nppf_adopted_20150128_statement.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-4,"Core Strategy NPPF focused review proposed submission draft, sustainability appraisal addendum",sustainability-appraisal,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core_strategy_focused_review_nppf_adopted_20150128_sa_add.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-5,Core strategy adopted map - west,policies-map,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core-strategy_adopted-2011-map-1west-v01.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-6,"Core strategy adopted map - east, part 1",policies-map,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core-strategy_adopted-2011-map-2east1-v01.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-7,"Core strategy adopted map - east, part 2",policies-map,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core-strategy_adopted-2011-map-3east2-v01.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,thurrock-council-local-plan-2015-8,Core strategy adopted map - key,policies-map,pdf,https://www.thurrock.gov.uk/sites/default/files/assets/documents/core-strategy_adopted-2011-map-4key-v01.pdf,https://www.thurrock.gov.uk/current-development-plan/core-strategy-local-plan,200,application/pdf,,thurrock-council-local-plan-2015
,,adopted-dacorum-core-strategy-2006-2031,Adopted Dacorum Core Strategy 2006 - 2031,core-strategy,pdf,https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adopted-core-strategy-2013.pdf?sfvrsn=2,,200,application/pdf,,core-strategy-2006-2031
,,adopted-derbyshire-dales-local-plan-2013-2033,Adopted Derbyshire Dales Local Plan 2013 - 2033,local-plan,html,https://www.derbyshiredales.gov.uk/documents/dddc-adopted-local-plan-2017-2/download,,403,text/html,,derbyshire-dales-local-plan
,,adoption-statement,Adoption statement,adoption-statement,pdf,https://www.elmbridge.gov.uk/sites/default/files/2023-03/Core%20Strategy%20-%20Adoption%20Statement.pdf,https://www.elmbridge.gov.uk/planning/planning-policy-and-guidance/core-strategy,200,application/pdf,,elmbridge-borough-council-local-plan-2011
,,adoption-statement-barnsley-metropolitan-borough-council-local-plan-2019,Adoption Statement,adoption-statement,pdf,https://www.barnsley.gov.uk/media/17019/adoption-statement-jan-19.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,200,application/pdf,,barnsley-metropolitan-borough-council-local-plan-2019
,,adoption-statement-local-plan-update-2023-pdf-0-1mb,"Adoption Statement: Local Plan update 2023 (PDF, 0.1MB)",adoption-statement,pdf,https://eastcambs.gov.uk:443/sites/default/files/Adoption%20statement%20Local%20Plan%202023%20Update%20-%20final.pdf,,404,text/html,,east-cambridgeshire-local-plan-single-issue-review
,,adur-district-council-local-plan-2017-1,Adur Local Plan 2017 (adopted) - Complete document,local-plan,pdf,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,200,application/pdf,,adur-district-council-local-plan-2017
,,adur-district-council-local-plan-2017-10,Adur Local Plan 2017 - Adoption Statement,adoption-statement;local-plan,pdf,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,200,application/pdf,,adur-district-council-local-plan-2017
,,ashford-borough-council-local-plan-2019-11,Local Plan Policies Map,policies-map,html,,https://www.ashford.gov.uk/planning-and-development/planning-policy/adopted-development-plan-documents/adopted-local-plan-to-2030/,404,text/html,,ashford-borough-council-local-plan-2019
,,babergh-district-council-local-plan-2023-1,Inspectors report,inspectors-report,pdf,https://www.babergh.gov.uk/documents/d/asset-library-54706/k01-bmsdc-jlp-final-report-and-schedule,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,200,application/pdf,,babergh-district-council-local-plan-2023
,,babergh-district-council-local-plan-2023-2,Joint Local Plan - Part 1,local-plan,pdf,https://www.babergh.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-part-1-nov-2023,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,200,application/pdf,,babergh-district-council-local-plan-2023
,,babergh-district-council-local-plan-2023-3,Adoption Statement,adoption-statement,pdf,https://www.babergh.gov.uk/documents/d/asset-library-54706/mid-suffolk-district-council-jlp-part-1-adoption-statement,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,200,application/pdf,,babergh-district-council-local-plan-2023
,,babergh-district-council-local-plan-2023-5,Supplementary Policy Map Insets,policies-map,pdf,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/jlp-settlement-maps-master-doc-part-1-sep-24,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,200,application/pdf,,babergh-district-council-local-plan-2023
,,babergh-district-council-local-plan-2023-6,Local Development Scheme,local-development-scheme,pdf,https://www.babergh.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-development-scheme-2023-2026,https://www.babergh.gov.uk/joint-local-plan?p_l_back_url=%2Fsearch%3Fq%3DLocal%2BPlans,200,application/pdf,,babergh-district-council-local-plan-2023
,,barnsley-local-plan-2019,Barnsley Local Plan 2019,local-plan,pdf,https://www.barnsley.gov.uk/media/17249/local-plan-adopted.pdf,https://www.barnsley.gov.uk/services/planning-and-buildings/local-planning-and-development/our-local-plan/barnsleys-local-plan/,200,application/pdf,,barnsley-metropolitan-borough-council-local-plan-2019
,,basildon-borough-council-local-plan-2011-1,Basildon District Local Plan Saved Policies,local-plan,pdf,https://www.basildon.gov.uk/media/598/Basildon-District-Local-Plan-Saved-Policies-September-2007/pdf/Basildon_District_Local_Plan_Saved_Policies_-_September_2007.pdf?m=1540381932580,https://www.basildon.gov.uk/adoptedplan,200,application/pdf,,basildon-borough-council-local-plan-2011
,,basingstoke-and-deane-borough-council-local-plan-2011-1,Adopted Local Plan (2011 to 2029),local-plan,unknown,,https://www.basingstoke.gov.uk/planningpolicy,0,,,basingstoke-and-deane-borough-council-local-plan-2011
,,basingstoke-and-deane-borough-council-local-plan-2011-4,Adoption Statement,adoption-statement,unknown,,https://www.basingstoke.gov.uk/planningpolicy,0,,,basingstoke-and-deane-borough-council-local-plan-2011
,,basingstoke-and-deane-borough-council-local-plan-2011-5,SEA Adoption Statement,adoption-statement;sustainability-appraisal,unknown,,https://www.basingstoke.gov.uk/planningpolicy,0,,,basingstoke-and-deane-borough-council-local-plan-2011
,,bassetlaw-district-council-local-plan-2020-1,Bassetlaw Local Plan,local-plan,unknown,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,0,,,bassetlaw-district-council-local-plan-2020
,,bassetlaw-district-council-local-plan-2020-2,Sustainability Appraisal Adoption Statement,adoption-statement;sustainability-appraisal,unknown,,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038/,0,,,bassetlaw-district-council-local-plan-2020
,,bedford-borough-council-local-plan-2018-1,Local Plan 2030,local-plan,unknown,,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,0,,,bedford-borough-council-local-plan-2018
,,bedford-borough-council-local-plan-2018-2,Policies map,policies-map,html,,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,200,text/html,,bedford-borough-council-local-plan-2018
,,bedford-borough-council-local-plan-2018-29,Sustainability Appraisal,sustainability-appraisal,pdf,https://edrms.bedford.gov.uk/OpenDocument.aspx?id=w%2F1uW7yleu4KmJhsKmHidQ%3D%3D&name=25a%20-%20Sustainability%20Appraisal%20Report%20September%202018.pdf,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,200,application/pdf,,bedford-borough-council-local-plan-2018
,,bedford-borough-council-local-plan-2018-4,Adoption statement,adoption-statement,pdf,https://edrms.bedford.gov.uk/OpenDocument.aspx?id=OzzaOHXt2Z0vLLb9jmvZ8A%3D%3D&name=Local%20Plan%20Adoption%20Statement.pdf,https://www.bedford.gov.uk/planning-and-building-control/planning-policy/local-plan-2030/local-plan-2030-overview,200,application/pdf,,bedford-borough-council-local-plan-2018
,,birmingham-plan-2031,Birmingham Plan 2031,local-plan,html,,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,403,text/html,,the-birmingham-plan-bdp-update
,,calderdale-metropolitan-borough-council-local-plan-2018-1,Calderdale Local Plan 2018/19 to 2032/33 Written Statement,local-plan,pdf,https://new.calderdale.gov.uk/sites/default/files/2023-12/Local-Plan-Written-Statement.pdf,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,200,application/pdf,,calderdale-metropolitan-borough-council-local-plan-2018
,,calderdale-metropolitan-borough-council-local-plan-2018-2,Appendix 1 - Site Allocations,local-plan,pdf,https://www.calderdale.gov.uk/docs/local-plan/Local-Plan-Appendix-1.pdf,https://new.calderdale.gov.uk/planning-and-building-control/planning-policy/local-plan,200,application/pdf,,calderdale-metropolitan-borough-council-local-plan-2018
,,cambridge-city-council-local-plan-2018-1,Cambridge Local Plan,local-plan,pdf,https://www.cambridge.gov.uk/media/6890/local-plan-2018.pdf,https://www.cambridge.gov.uk/local-plan-2018,200,application/pdf,,cambridge-city-council-local-plan-2018
,,cambridge-city-council-local-plan-2018-10,Adopted Policies Map (October 2018),policies-map,pdf,https://www.cambridge.gov.uk/media/6892/development-plan-adopted-policies-map.pdf,https://www.cambridge.gov.uk/local-plan-2018,200,application/pdf,,cambridge-city-council-local-plan-2018
,,cambridge-city-council-local-plan-2018-11,Inspectors Report and Schedule of Main Modifications,inspectors-report,pdf,https://www.cambridge.gov.uk/media/6789/local-plan-2018-inspectors-examination-report.pdf,https://www.cambridge.gov.uk/local-plan-2018,200,application/pdf,,cambridge-city-council-local-plan-2018
,,cambridge-city-council-local-plan-2018-3,Adoption statement,adoption-statement,pdf,https://www.cambridge.gov.uk/media/6791/local-plan-2018-adoption-statement.pdf,https://www.cambridge.gov.uk/local-plan-2018,200,application/pdf,,cambridge-city-council-local-plan-2018
,,cannock-chase-district-council-local-plan-2006-10,Inspectors report,inspectors-report,pdf,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/cannock_chase_lp_final_report.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,200,application/pdf,,cannock-chase-district-council-local-plan-2006
,,cannock-chase-district-council-local-plan-2006-3,Cannock Chase Local Plan - Local Plan (Part 1) 2014,local-plan,pdf,https://www.cannockchasedc.gov.uk/sites/default/files/site-old/local_plan_part_1_09.04.14_low_res.pdf,https://www.cannockchasedc.gov.uk/residents/planning-and-building-control/planning-policy/cannock-chase-local-plan,200,application/pdf,,cannock-chase-district-council-local-plan-2006
