lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,darlington-borough-council-local-plan-2016-25,SD08 Darlington Strategic Housing market assessment 2020,strategic-housing-market-assessment,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-26,SD09 Darlington Strategic Housing market assessment 2017,strategic-housing-market-assessment,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-27,SD10 HELAA 2017 - Part 1,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-28,SD10 HELAA 2017 - Part 2,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-29,SD10 HELAA 2017 - Part 3,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-3,Darlington Policies Map,policies-map,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-30,SD10 HELAA 2017 - Part 4,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-31,SD10 HELAA 2017 - Part 5,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-32,SD10 HELAA 2017 - Part 6,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-33,SD13 Gypsy and Traveller accommodation assessment update 2017,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-34,SD14 Gypsy and Traveller accommodation assessment 2014,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-35,SD15 Darlington Future Employment Needs report 2017,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-36,SD16 Employment Land review 2017,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-37,SD17 Employment Land review 2012,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-38,"SD22 Darlington Town Centre and Retail study, and retail study update 2017",,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
