doc_reference,doc_name,url,error,lpa_curie,lpa_name,local_plan
local-plan-for-the-broads,Local Plan for the Broads,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0036/259596/Local-Plan-for-the-Broads.pdf,HTTPError: 403 Client Error: Forbidden for url: https://www.broads-authority.gov.uk/__data/assets/pdf_file/0036,,,local-plan-for-the-broads
local-development-scheme-camden-local-plan-2026,Local development scheme,https://www.camden.gov.uk/documents/20142/4855432/2023+LDS+FINAL.pdf/50d11f59-5926-6d74-d380-1bc4a30d7133?t=1702459128479,HTTPError: 403 Client Error: Forbidden for url: https://www.camden.gov.uk/documents/20142/4855432/2023+LDS+FINA,,,camden-local-plan-2026
bolsover-district-council-local-plan-2022-1,Local Development Scheme No7,https://www.bolsover.gov.uk/index.php?option=com_content&view=category&id=233,HTTPError: 403 Client Error: Forbidden for url: https://www.bolsover.gov.uk/index.php?option=com_content&view=c,,,bolsover-district-council-local-plan-2022
brighton-hove-city-council-s-development-plan,City Plan Part 1,https://www.brighton-hove.gov.uk/sites/default/files/migrated/article/inline/FINAL%20version%20cityplan%20March%202016compreswith%20forward_0.pdf,HTTPError: 403 Client Error: Forbidden for url: https://www.brighton-hove.gov.uk/sites/default/files/migrated/a,,,brighton-and-hove-city-plan-part-one
adopted-policies-map-east,Adopted Policies Map - East,https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CPP2%20East%20Area%20map%20PDF%20March%202023.pdf,HTTPError: 403 Client Error: Forbidden for url: https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CP,,,brighton-and-hove-city-plan-part-one
policies-map-west-brighton-and-hove-city-plan-part-one,Policies Map - West,https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CPP2%20West%20Area%20map%20PDF%20March%202023.pdf,HTTPError: 403 Client Error: Forbidden for url: https://www.brighton-hove.gov.uk/sites/default/files/2023-03/CP,,,brighton-and-hove-city-plan-part-one
policies-map-central,Policies Map - Central,https://www.brighton-hove.gov.uk/sites/default/files/2023-11/CPP2%20Central%20Area%20map%20PDF%20March%202023%20%281%29.pdf,HTTPError: 403 Client Error: Forbidden for url: https://www.brighton-hove.gov.uk/sites/default/files/2023-11/CP,,,brighton-and-hove-city-plan-part-one
south-east-lincolnshire-local-plan-2011-2036,South East Lincolnshire Local Plan 2011-2036,https://southeastlincslocalplan.org/media/21941/South-East-Lincolnshire-Local-Plan-2011-2036/pdf/Local-Plan-text-March-2019.pdf?m=1720710748483,HTTPError: 403 Client Error: Forbidden for url: https://southeastlincslocalplan.org/media/21941/South-East-Linc,,,south-east-lincs-local-plan
policies-map-south-east-lincs-local-plan,Policies map,https://southeastlincslocalplan.org/media/21942/Policies-map/pdf/0-Policies-Map.pdf?m=1720710748117,HTTPError: 403 Client Error: Forbidden for url: https://southeastlincslocalplan.org/media/21942/Policies-map/pd,,,south-east-lincs-local-plan
https-www-bolsover-gov-uk-index-php-option-com-content-view-article-id-90,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=90,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=90,HTTPError: 403 Client Error: Forbidden for url: https://www.bolsover.gov.uk/index.php?option=com_content&view=a,,,bolsover-district-council-local-plan-2022
draft-elmbridge-local-plan-2037,Draft Elmbridge Local Plan 2037,https://www.elmbridge.gov.uk/sites/default/files/2023-08/CD001%20-%20Draft%20Elmbridge%20Local%20Plan%202037.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.elmbridge.gov.uk/sites/default/files/2023-08/CD001%,,,elmbridge-new-local-plan
local-development-scheme-2023-2026,Local Development Scheme 2023-2026,https://www.elmbridge.gov.uk/sites/default/files/2023-09/CD006%20-%20Local%20Development%20Scheme%202023-2026%20-July%202023.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.elmbridge.gov.uk/sites/default/files/2023-09/CD006%,,,elmbridge-new-local-plan
