doc_reference,doc_name,url,error,lpa_curie,lpa_name,local_plan
east-lindsey-district-council-local-plan-2018-17,Schedule of Proposed Main Modifications to the Settlement Proposals DPD Draft Local Plan (2017),https://www.e-lindsey.gov.uk/media/7733/Schedule-of-Proposed-Main-Modifications-to-the-Settlement-Proposals-DPD-Draft-Local-Plan-2017-ED057/pdf/ED057_Main_Mods_table_SP_DPD_Revised_Version_2018.pdf?m=1612263203067,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/7733/Schedule-of-Proposed-Ma,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-18,Adoption Statement,https://www.e-lindsey.gov.uk/media/9940/Adoption-Statement/pdf/Adoption_Statement.pdf?m=1533116020207,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9940/Adoption-Statement/pdf/,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-2,East Lindsey Settlement Proposals Development Plan Document,https://www.e-lindsey.gov.uk/media/15269/Adopted-Settlement-Proposals/pdf/AdoptedSettlementProposalsDocument.pdf?m=1579873492493,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/15269/Adopted-Settlement-Pro,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-3,Settlement Proposals Pt1 Alford to Legbourne,https://www.e-lindsey.gov.uk/media/9792/Settlement-Proposals-Pt1-Alford-to-Legbourne/pdf/Settlement_Proposals_Pt1_Alford_to_Legbourne.pdf?m=1532335698627,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9792/Settlement-Proposals-Pt,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-4,Settlement Proposals Pt2 Louth to Wragby,https://www.e-lindsey.gov.uk/media/9793/Settlement-Proposals-Pt2-Louth-to-Wragby/pdf/Settlement_Proposals_Pt2_Louth_to_Wragby.pdf?m=1532335699247,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9793/Settlement-Proposals-Pt,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-5,Settlement Proposals Pt3 Coastal Settlements,https://www.e-lindsey.gov.uk/media/9794/Settlement-Proposals-Pt3-Coastal-Settlements/pdf/Settlement_Proposals_Pt3_Coastal_Settlements.pdf?m=1532335699927,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9794/Settlement-Proposals-Pt,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-6,Single Plot Exceptions - Feb 17,https://www.e-lindsey.gov.uk/media/10163/Single-Plot-Exceptions-Feb-17/pdf/Single_Plot_Brochure_A4_amendments_2017_v3_correct1.pdf?m=1546595439477,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/10163/Single-Plot-Exceptions,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-7,CD102 East Lindsey Core Strategy Sustainability Appraisal November 2016 with Non Technical Summary,https://www.e-lindsey.gov.uk/media/5024/CD102-East-Lindsey-Core-Strategy-Sustainability-Appraisal-November-2016-with-Non-Technical-Summary/pdf/Cd102_East_Lindsey_Core_Strategy_Sustainability_Appraisal_November_2016_with_Non_Technical_Summary.pdf?m=1503583849553,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/5024/CD102-East-Lindsey-Core,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-8,CD102 Appendix 1 - Vision and Strategic Actions Appraisal,https://www.e-lindsey.gov.uk/media/5022/CD102-Appendix-1-Vision-and-Strategic-Actions-Appraisal/pdf/CD102_Appendix_1_-_Vision_and_Strategic_Actions_Appraisal.pdf?m=1503583681797,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/5022/CD102-Appendix-1-Vision,,,east-lindsey-district-council-local-plan-2018
east-lindsey-district-council-local-plan-2018-9,CD102 Appendix 2 - Policy appraisal sheets of changes as a result of consultation,https://www.e-lindsey.gov.uk/media/5987/CD102-Appendix-2-Policy-appraisal-sheets-of-changes-as-a-result-of-consultation/pdf/CD102_Appendix_2_-_Policy_appraisal_sheets_of_changes_as_a_result_of_consultation.pdf?m=1505729488030,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/5987/CD102-Appendix-2-Policy,,,east-lindsey-district-council-local-plan-2018
inspectors-final-report,Inspectors Final Report,https://www.e-lindsey.gov.uk/media/9024/Inspectors-Final-Report/pdf/Inspectors_Final_Report.pdf?m=1525354391803,HTTPError: 403 Client Error: Forbidden for url: https://www.e-lindsey.gov.uk/media/9024/Inspectors-Final-Report,,,east-lindsey-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-1,Adoption Statement,https://www.scambs.gov.uk/media/17751/south-cambridgeshire-local-plan-2018-adoption-statement.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/17751/south-cambridgeshire-loca,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-16,Errata to South Cambridgeshire Local Plan (2018),https://www.scambs.gov.uk/media/17817/errata-to-south-cambridgeshire-local-plan-2018.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/17817/errata-to-south-cambridge,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-18,Inspectors Report,https://www.scambs.gov.uk/media/17450/scdc-local-plan-final-report-2018.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/17450/scdc-local-plan-final-rep,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-19,Schedule of Main Modifications,https://www.scambs.gov.uk/media/12103/south-cambs-report-appendix-1.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/12103/south-cambs-report-append,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-2,South Cambridgeshire Local Plan,https://www.scambs.gov.uk/media/17793/south-cambridgeshire-adopted-local-plan-2018.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/17793/south-cambridgeshire-adop,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-22,Additional Modifications,https://www.scambs.gov.uk/media/12566/schedule-of-additional-mods-sept-2018.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/12566/schedule-of-additional-mo,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-3,Errata to South Cambridgeshire Local Plan (2018),https://www.scambs.gov.uk/media/18045/errata-to-south-cambridgeshire-local-plan-2018-oct-2019-amendments.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/18045/errata-to-south-cambridge,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-38,Schedule of Additional Modifications,https://www.scambs.gov.uk/media/17748/schedule-of-additional-modification-sept-2018.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/17748/schedule-of-additional-mo,,,south-cambridgeshire-district-council-local-plan-2018
south-cambridgeshire-district-council-local-plan-2018-39,Sustainability Appraisal Adoption Statement,https://www.scambs.gov.uk/media/12567/r1700002275_-south-cambridgeshire-sa-adoption-statement.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.scambs.gov.uk/media/12567/r1700002275_-south-cambri,,,south-cambridgeshire-district-council-local-plan-2018
